drink water: The head tilts backward, allowing the mouth to receive and swallow refreshing water; The hand lifts a water container or glass, guiding it toward the mouth for drinking; The arm smoothly raises the water container, facilitating a comfortable drinking posture; The hip may slightly adjust for balance as the body leans forward for a drink; The leg remains stable, supporting the body weight during the act of drinking; The foot stays grounded, contributing to stability while sipping water for hydration.
phone call: Inclines slightly, showcasing engagement in conversation with a phone held to the ear; Holds the phone to the ear or interacts with the touchscreen during the call; May gesture subtly while speaking or remain relaxed, depending on the conversation; Generally remains stationary, with subtle shifts indicating engagement in the conversation; Stands or sits comfortably, providing stability during the phone call; Rests on the ground, indicating a relaxed posture while conversing on the phone.
play with phone/tablet: Bends slightly downward, focusing on the phone/tablet screen during interaction; Holds the phone/tablet with a relaxed grip, fingers navigating the device for play; Moves dynamically, adjusting the phone/tablet for optimal viewing and interaction; May shift subtly to find a comfortable position, depending on the sitting or standing posture; Stays grounded, supporting the body while engaged in playing with the device; Generally remains stationary, contributing to overall stability during interaction.	
type on a keyboard: Generally faces forward, occasionally tilting or turning to view the screen or keys; Fingers move rhythmically, pressing keys on the keyboard for typing; Forearms may rest on the desk or move fluidly to reach different parts of the keyboard; Typically seated, providing stability and support during keyboard interaction; Remains in a relaxed or seated position, offering a stable base for upper body movement; At rest, with minimal movement, playing a passive role in keyboard interaction.
point to something: Turns or tilts slightly to align the gaze with the pointed direction for clarity; Extends the arm, with the index finger extended to indicate a specific object or location; Moves with precision, directing the hand and finger accurately towards the designated point; May shift subtly to provide support and balance during the pointing gesture; Remains stable or adjusts position to maintain balance while pointing; Supports the body, contributing to overall stability during the pointing action.	
taking a selfie: Inclines slightly, facing the front camera, with a smile or desired expression; Holds the smartphone or camera, positioning it for capturing the perfect selfie angle; Extends outward or bends to frame the shot, ensuring a flattering composition; May shift for a more dynamic pose, contributing to the overall aesthetic of the selfie; Stands naturally or may cross for a casual or stylized stance during the selfie; Plays a supporting role, maintaining balance and stability during the photo-taking process.
check time (from watch): Tilts slightly downwards to bring the watch face into view for time checking; Raises the wrist, positioning the watch within the line of sight for time reference; Executes a swift and deliberate movement to comfortably view the watch; Typically remains stationary, with minimal involvement in the action; Provides stability, allowing the individual to maintain balance while checking the time; Usually at rest, contributing to overall stability during the time-checking gesture.	
rub two hands: May tilt slightly with a focused or contemplative expression while rubbing hands; Palms come together, fingers interlace, and hands rub in a circular or back-and-forth motion; Forearms move rhythmically as hands engage in the rubbing action; Remains relatively stationary, maintaining balance while hands perform the rubbing motion; Stands or sits with a stable posture, providing support during the hand-rubbing activity; Offers a grounded stance, contributing to overall stability during the hand-rubbing action.	
nod head/bow: Bows forward or nods in a downward motion, expressing agreement, acknowledgment, or respect; May stay relaxed or make a subtle gesture, depending on cultural norms and personal style; Might lower slightly or stay by the sides, accompanying the nodding or bowing motion; Generally remains unaffected, maintaining stability during the nodding or bowing action; Steadies the body, providing support during the forward motion of the head; Stays grounded, ensuring balance and poise while nodding or bowing. 	
shake head: Moves horizontally from side to side, expressing disagreement, disapproval, or confusion; Often used to emphasize the head shaking, gesturing a negative response or refusal; Arms may stay relaxed by the sides or become engaged in the gesture, accentuating the head movement; Hips usually stay stable, providing a base for the upper body's side-to-side movement; Legs remain grounded, supporting the body during the lateral movement of the head; Stationary and balanced, supporting the overall posture as the head shakes from side to side.
wipe face: Leans forward or tilts to access the face, facilitating the wiping motion; Holds a cloth, tissue, or hand to wipe the face in a gentle or purposeful manner; Performs a controlled wiping motion, reaching across the face for thorough cleaning; May shift slightly for comfort, especially when bending forward to wipe the face; Provides stability, ensuring balance while performing the wiping action; Grounded for support, maintaining balance during the face-wiping process.	
salute: Lifts with precision, tilting slightly upward, demonstrating a respectful and disciplined posture; Raises to the forehead with fingers aligned, signifying a formal and respectful salute; Extends upward, creating a straight line from the hand to the forehead in a disciplined manner; Stays upright and squared, contributing to the overall sharp and respectful appearance; May execute a formal and controlled step, adding ceremonial significance to the salute; Maintains a grounded position, emphasizing stability and discipline during the salute.	
put palms together: Bows slightly, demonstrating a gesture of respect and humility during the action; Palms meet in a gentle and deliberate manner, forming a prayer or meditative pose; Forearms come together, showcasing unity or reverence in the act of putting palms together; Stays relaxed or may slightly incline forward, depending on the cultural or personal context; Assumes a stable and grounded stance, contributing to the overall balance during the gesture; Provides support and stability, maintaining a respectful and composed posture.	
cross hands in front: Maintains an upright position, observing surroundings with a focused or relaxed expression; Crosses hands in front of the body, fingers may interlace or rest on opposite wrists; Forms a horizontal line as hands cross in front, creating a composed and deliberate posture; Stays centered and balanced, contributing to a confident and self-assured stance; Feet may be close together or shoulder-width apart, supporting the overall crossed hands position; Remains grounded, showcasing stability and intention in the crossed hands posture.
sneeze/cough: Inclines slightly forward or to the side, indicating the direction of the sneeze/cough; Covers the mouth and nose, demonstrating a hygienic response to prevent the spread of particles; Raises to shield the face, contributing to a responsible and considerate gesture; May shift backward or sideways as a natural reaction to the force of the sneeze/cough; May slightly bend or adjust to maintain balance during the sudden movement; May pivot or adjust, supporting the overall body movement during the sneeze/cough.	
staggering: Tilts or sways, reflecting the lack of balance during the staggering movement; May extend outward or gesture for support as the body struggles to maintain stability; Swings or flails unpredictably, contributing to the unsteady motion; Shifts from side to side, indicating the body's attempt to regain equilibrium; Takes irregular steps, showcasing the uncoordinated and unstable nature of the movement; Lands unevenly, emphasizing the difficulty in maintaining a regular walking pattern.	
falling down: Tilted backward or sideways, signaling the loss of balance and impending fall; Reaches out instinctively, attempting to grasp onto something for support or breaking the fall; Extends involuntarily, trying to cushion the impact or regain stability; Twists or turns as the body loses equilibrium, leading to the fall; Bends or collapses under the body's weight, contributing to the descent; May stumble or land awkwardly, marking the conclusion of the fall.
headache: Clutches temples, expressing discomfort and pain associated with a headache; Gently rubs the forehead or temples in an attempt to alleviate headache symptoms; May reach for pain-relief medication or hold the head for support; May shift weight uneasily, reflecting the impact of headache on body posture; May rest or adjust position, responding to the discomfort caused by the headache; Tapping or fidgeting, indicative of unease and restlessness during a headache.
chest pain: Expresses distress, often with a hand placed on the chest, signaling discomfort; May clutch or touch the chest, indicating a response to the pain or discomfort; Could reach across the chest, reflecting an attempt to alleviate or assess the pain; Remains relatively unaffected, as the pain typically centers around the chest area; No specific movement associated with chest pain, as it primarily involves the upper body; Generally stationary, as the discomfort is concentrated in the chest region.	
back pain: May tilt or turn to one side, reflecting discomfort or attempts to find a more comfortable position; Often reaches or rubs the lower back, signaling pain or aching sensations in that area; May use one or both hands to support the lower back, indicating discomfort or pain; Can display a shifted posture or a slight lean to one side due to back pain; Movements might be limited or cautious, especially when bending or flexing due to back pain; Generally stationary; limited movement to avoid exacerbating back pain.	
neck pain: Tilts to one side or forward, indicating discomfort or tension in the neck; May reach towards the neck, expressing an attempt to soothe or massage the area; Supports the neck or reaches across, showing an effort to alleviate neck pain; May shift or tilt slightly, as the body adjusts to the discomfort in the neck; Movements might become cautious, with limited head turning, to avoid aggravating neck pain; Generally stable, with the focus on the upper body; feet remain relatively unaffected.	
nausea/vomiting: May be bowed or turned away, expressing discomfort or preparation for vomiting; Could cover the mouth or reach for a receptacle, indicating an intention to vomit; May support the upper body or make protective gestures, responding to the urge to vomit; May sway or adjust subtly, reflecting the uneasiness associated with nausea; Movements may become more cautious or restless, mirroring the discomfort of nausea; Tends to shift weight or tap anxiously, showing the unease and potential for vomiting.
fan self: Inclined or turned to face the source of air, seeking relief from heat; Waving an object (like a fan) in front of the face for a cooling effect; Engaged in a repetitive waving or fanning motion to create airflow; May sway slightly, responding to the rhythmic movement of fanning; Relaxed, with potential subtle movements for comfort while fanning; Steady or tapping rhythmically, reflecting the motion of fanning or a response to heat.
punch/slap: Nods forward with force, adding momentum to the punch or slap; Strikes swiftly with a closed fist (punch) or open hand (slap); Extends forcefully, delivering the impact of the punch or slap; Twists or turns to generate additional power for the striking motion; May pivot or step forward to increase the reach and impact; Grounds the body, providing stability during the forceful punching or slapping action. 	
kicking: Leans back or tilts forward to maintain balance during the kick; May guard the face or counterbalance the kicking motion; Swings or positions for stability and coordination during the kick; Rotates and flexes to generate power for an effective kick; Extends forward, delivering a controlled or forceful kicking motion; Strikes the target, showcasing the precision and strength of the kick.	
pushing: Leans forward or tilts, indicating the intent to exert pushing force; Extends with palm open, applying pressure for the pushing motion; Straightens with controlled force, driving the pushing action; Shifts forward or sideways, contributing to the overall pushing force; Stabilizes the body and provides additional support during pushing; Makes contact with the ground for stability, aiding in the pushing movement.	
pat on back: Nods or tilts slightly, expressing approval or encouragement during the pat; Extends backward, making gentle contact with the upper back in a supportive gesture; Engages in a controlled, friendly motion to reach and pat the back; May subtly shift for balance while extending the arm for the pat; Stays grounded, providing stability during the patting action; Offers a supportive base, ensuring balance and coordination during the pat on the back.
point finger: Turns slightly, directing the gaze to the pointed direction with focused attention; Extends the index finger, indicating a specific object, direction, or point of interest; Raises and extends, creating a clear line of sight to the pointed location; May shift subtly to align with the pointed direction, enhancing the gesture's intention; Stays grounded, providing stability during the action of pointing; Maintains a balanced position, supporting the body's weight during the pointing gesture.	
hugging: Leans affectionately toward the other person, expressing warmth and connection; Wraps around the other person, fingers gently clasping for a secure embrace; Encircles the person, providing a comforting and protective hold; May tilt slightly to accommodate the hug, promoting a natural and comfortable posture; Can take a step forward, adjusting to the closeness of the embrace; Remains grounded, offering stability and balance during the hugging gesture.	
giving object: Nods or turns slightly, indicating the intention to give or share an object; Extends outward, presenting the object with an open and inviting gesture; Reaches out in a friendly manner, facilitating the transfer of the object; May shift slightly to accommodate the movement and create a natural flow; Maintains stability, supporting the body during the act of giving; Stays grounded, ensuring balance and coordination while offering the object.
touch pocket: Tilts slightly or turns to direct attention to the pocket, indicating a potential need; Reaches towards the pocket with a purposeful and controlled movement; Extends and flexes as the hand approaches the pocket, displaying intent; May shift or slightly rotate as the hand engages with the pocket area; Offers stability, ensuring a smooth and coordinated motion during the pocket interaction; Remains grounded, supporting the overall balance and coordination of the action.
shaking hands: Nods slightly in acknowledgment, maintaining eye contact during the handshake gesture; Extends forward with an open palm, engaging in a firm yet friendly handshake; Performs a controlled and confident shaking motion, expressing sincerity and goodwill; Remains stable, contributing to an overall poised and respectful stance during the handshake; May undergo a subtle shift for balance, supporting the social interaction without dominating; Stays grounded, reflecting a composed and respectful demeanor during the handshake exchange.	
walking towards: Faces the intended direction, maintaining awareness of surroundings while initiating forward movement; Swings naturally, coordinated with the walking rhythm, providing balance and momentum; Moves in tandem with the legs, creating a rhythmic and purposeful stride; Sways slightly with each step, contributing to a smooth and efficient walking motion; Alternates smoothly, propelling the body forward with a synchronized and steady gait; Lifts and lands gracefully, ensuring a fluid and continuous progression during the walk.	
walking apart: Turns or tilts, signaling a departure or a change in direction; May extend outward or gesture, indicating a spatial transition; Moves away from the body, contributing to an open and separated posture; Shifts slightly to the side, facilitating lateral movement; Takes steps with increased lateral spacing, creating distance; Lands wider apart, supporting the broader walking stance.

