drink water: The head tilts backward, allowing the mouth to open for a refreshing sip; The hand holds a water container, guiding it toward the mouth for drinking; The arm executes a controlled lifting motion, bringing the water container closer for drinking; The hip remains relaxed as the body leans slightly forward for comfortable water intake; The leg provides support, maintaining balance whether sitting or standing while drinking water; The foot remains firmly planted, ensuring stability during the act of drinking water.
writing: Focused, often leaning slightly forward to maintain a clear view of the writing surface; Grips the writing instrument, forming letters or symbols on the writing surface; Moves in a controlled manner, guiding the writing instrument with precision; May be seated or standing, providing stability and support during the writing process; Positioned comfortably, supporting the body while engaged in the writing activity; Generally at rest, contributing to overall body balance and stability.
tear up paper: May express emotions such as frustration or determination, directing attention to the paper; Grasps and manipulates the paper, initiating the tearing process with deliberate or forceful actions; Engages in controlled or vigorous movements, tearing the paper into desired pieces; Posture may vary depending on the person's position, whether sitting or standing during the tearing; Provides support and stability as the tearing action takes place; Generally at rest, contributing to overall body balance and coordination.	
put on jacket: Tilt slightly forward, anticipating arm movement; Grasp jacket's edges, preparing to slide arms in; Extend into jacket sleeves with controlled motion; Slight sway for balance during the jacket entry; Steady support, with minimal movement; Maintain balance while initiating the jacket-donning action.	
take off jacket: Tilt forward, signaling the intention to remove the jacket; Gripping the jacket's edges, ready for controlled extraction; Swiftly pull arms out, ensuring a smooth jacket removal; Slight shift for balance during the arm movement; Steady support, minimal movement during the jacket removal; Maintain balance while facilitating the action of taking off the jacket.	
put on a shoe: Tilts downward, focusing on the shoe, indicating intention to put it on; Grasps the shoe, adjusting its position for a comfortable fit; Executes controlled movements, guiding the shoe onto the foot with precision; May shift slightly for balance, depending on whether standing or sitting; Lifts, offering access to the foot, facilitating the putting on of the shoe; Receives the shoe, adjusting and flexing for proper placement and comfort.
take off a shoe: Tilts downward, observing the shoe removal process; Grasps the shoe, initiating the removal by unfastening any closures; Executes controlled movements, guiding the removal with precision; May shift slightly for balance, depending on whether standing or sitting; Lifts, facilitating access to the foot for an easy removal process; Cooperates, allowing the shoe to be taken off with ease.	
put on glasses: Lifts slightly, adjusting the angle to comfortably place the glasses on the face; Holds the glasses, ensuring a steady grip for precise placement; Moves with controlled motion, bringing the glasses towards the face; May shift slightly for balance, depending on whether standing or sitting; Steadies the body, providing support for the glasses application; Maintains stability, contributing to the overall balance during the action.	
take off glasses: Tilts slightly, allowing the glasses to slide down the nose for removal; Grasps the frame securely, initiating the action of taking off the glasses; Performs a controlled motion, lowering the glasses away from the face; May shift slightly for balance, depending on whether standing or sitting; Adjusts weight distribution for stability during the glasses removal; Maintains support, contributing to overall balance while taking off the glasses.	
put on a hat/cap: Lifts and tilts slightly, creating space for the hat to be placed comfortably; Holds the hat, positioning it over the head for the upcoming action; Executes a controlled motion, guiding the hat onto the head with precision; May adjust slightly for balance, depending on whether standing or sitting; Maintains stability, supporting the body during the process of putting on the hat; Provides a stable base, contributing to overall balance during the action.
take off a hat/cap: Tilts slightly, allowing space for the hat to be easily lifted off; Grasps the hat, smoothly raising it off the head with a controlled motion; Executes a coordinated movement, guiding the hat away from the head; May adjust for balance, depending on whether standing or sitting during the action; Provides stability, supporting the body while taking off the hat; Maintains a stable base, contributing to overall balance during the hat removal.
cheer up: Lifts with enthusiasm, expressing positivity through a bright and cheerful facial expression; Raises in jubilation, possibly waving or clapping to spread cheer; Extends outward in celebration, emphasizing a joyful and uplifting gesture; Sways with energy, adding a dynamic element to the overall cheerful movement; May perform a lively bounce or step, contributing to the energetic atmosphere; Taps or moves rhythmically, showcasing the infectious spirit of cheering up. 	
hand waving: Turns slightly and nods, expressing acknowledgment or greeting with a friendly demeanor; Performs a waving motion, moving back and forth to signal hello, goodbye, or attention; Extends outward and swings rhythmically, enhancing the friendly and welcoming gesture; May sway gently, contributing to the overall fluidity and ease of the waving motion; Adds a subtle bounce or shift, complementing the movement of the arm and hand; May pivot or tap lightly, reflecting the upbeat and positive nature of waving.	
kicking something: Tilts slightly forward, focusing attention on the target for the impending kick; May gesture or point toward the object being kicked, indicating the direction; Raises or swings back for balance and momentum before executing the kick; Rotates in the direction of the kick, contributing to the power and range; Extends swiftly and forcefully toward the target, executing the kicking action; Makes contact with the object, showcasing the point of impact during the kick.
reach into pocket: Turns slightly to the side, indicating the direction of the pocket; Extends towards the pocket with fingers ready to grasp an item; Reaches smoothly, showing the flexibility and range of the arm; Might shift or slightly tilt, accommodating the movement of the arm; Stands firmly, providing a stable base for the reaching action; Maintains a supportive stance, grounded as the body reaches into the pocket.	
hopping: Leans slightly forward, keeping the gaze focused and aligned with the hopping direction; Arms may swing rhythmically for balance, following the hopping motion; Bends at the elbow, moving in sync with the hopping rhythm for stability; Exhibits a dynamic movement, contributing to the upward and forward momentum; Lifts off the ground, showcasing the primary action of hopping; Propels off the ground, demonstrating the push-off force in the hopping movement.	
jump up: Tilts slightly upward, tracking the vertical movement during the jump; Arms swing downward before lifting, adding momentum to the upward motion; Bends at the elbow and extends as the body propels upward during the jump; Engages in a powerful upward thrust, contributing to the vertical lift; Extends and pushes forcefully against the ground for the upward jump; Lifts off the ground, showcasing the push-off action and initiation of the jump.	
phone call: Inclines slightly to hold the phone, maintaining a comfortable position for conversation; Holds the phone securely, fingers positioned to support the device during the call; May be raised to bring the phone to ear level or adjusted for comfort; Remains in a relaxed position, as this action typically doesn't involve significant hip movement; Stays grounded, providing stability during the phone call; Position is generally stationary, supporting the body's balance while engaged in the call.
play with phone/tablet: Bends forward or tilts to focus on the phone/tablet screen during interaction; Taps, swipes, or gestures on the device, engaging in interactive activities; Moves dynamically to navigate the screen, supporting various gestures and interactions; Generally stays in a relaxed or seated position, providing stability during device interaction; Remains stationary or adjusts slightly to find a comfortable posture while using the phone/tablet; Typically at rest, providing a stable base while the upper body engages with the device.	
type on a keyboard: Remains focused on the screen or may tilt slightly for better visibility during typing; Swiftly moves across the keyboard, pressing keys to input text or commands accurately; Executes precise and controlled movements to facilitate keyboard interaction with ease; Typically seated in a stable position, providing a comfortable base for typing activities; Generally stationary, supporting the seated posture during keyboard usage; At rest, contributing to overall stability while the upper body and hands are engaged.	
point to something: Turns or tilts in the direction of the pointed object, indicating focus and interest; Extends with fingers pointing toward the target, demonstrating the chosen direction; Stretches outward, aligning with the hand's movement, emphasizing the pointed direction; May subtly shift, contributing to the overall alignment and balance during the pointing gesture; Remains stable, providing a supportive foundation for the body's upper movements; Generally at rest, supporting the body's stability while the upper body engages in pointing. 	
taking a selfie: Inclines or tilts to find the best angle, often sporting a smile for the camera; Holds the smartphone or camera, positioning it for the desired selfie composition; Extends to its maximum length to capture a wider view or include more subjects; May slightly shift for balance, especially when taking a selfie in a dynamic environment; Often remains stationary, providing a stable base for the upper body movements; Generally at rest, supporting stability while focusing on capturing the perfect selfie moment.
check time (from watch): Nods down or turns slightly to glance at the watch, indicating a time-check gesture; Raises the wrist to eye level, positioning the watch for a quick time check; Moves swiftly, bringing the watch into focus for a brief moment; May subtly adjust for comfort while checking the time, depending on the situation; Generally remains stable, providing a balanced posture during the quick time-check action; Offers support, staying grounded as the individual briefly focuses on their wristwatch.	
rub two hands: May incline slightly, indicating engagement in the action of rubbing hands together; Palms make contact, fingers interlacing, creating a rubbing or warming motion; Forearms exhibit a back-and-forth rubbing motion, conveying a sense of warmth or anticipation; Stays relaxed and unaffected, not directly involved in the hand-rubbing action; Remains stable, providing a balanced posture during the hand-rubbing activity; Offers support, staying grounded as the individual engages in the hand-rubbing motion.	
nod head/bow: Bows forward in a nodding motion, conveying agreement, respect, or acknowledgment; May stay relaxed by the sides or clasped together, supporting the nodding gesture; Arms typically hang by the sides or rest gently, accompanying the nodding of the head; Hips remain stable, supporting the upper body's movement during the nodding or bowing action; Legs maintain a stable position, providing balance during the nodding or bowing gesture; Grounded and stable, supporting the body's posture as the head nods or bows. 	
shake head: Moves from side to side, indicating disagreement, disapproval, or a negative response; Often remains relaxed or engaged in a casual gesture while the head shakes; Arms may gesture or remain by the sides, responding to the movement of the head; Hips may subtly sway or remain stable, complementing the head's side-to-side motion; Legs provide support, maintaining stability as the head shakes in a lateral motion; Grounded for balance, supporting the body's posture during the head-shaking action.
wipe face: Leans forward or tilts slightly, providing access for the hand to wipe the face; Uses a wiping motion, often with a tissue or hand, to clean or dry the face; Arm extends towards the face, executing the wiping motion with controlled gestures; May sway slightly forward or remain stable, depending on the extent of the face wiping; Stays grounded, offering support while the upper body leans forward for face wiping; Provides balance and stability during the action of wiping the face. 	
salute: Raises with precision, facing forward, displaying respect or acknowledgment; Extends towards the forehead in a sharp and distinct salute gesture; Lifts with a straightened elbow, emphasizing the salute's formality and respect; May remain aligned or slightly tilted, depending on the salute style; Stands firm and upright, showcasing discipline and attentiveness during the salute; Provides stability and balance, maintaining a formal and respectful posture.	
put palms together: Bows slightly or nods, showing a gesture of respect or acknowledgment; Palms come together in front of the chest, fingers extended or slightly bent; Raises and brings palms together, creating a unified and intentional gesture; Maintains a formal or relaxed posture, depending on the cultural context; Stands comfortably, showcasing a composed and respectful stance; Remains stable and grounded, supporting the overall gesture of putting palms together.	
cross hands in front: Stays upright, observing surroundings or engaging with an attentive expression; Crosses in front of the body, palms facing inward or clasping opposite wrists; Extends horizontally, forming a barrier or adopting a self-assured posture; May subtly shift weight or remain centered, depending on the overall stance; Adopts a balanced position, supporting the crossed hands gesture comfortably; Remains stable, emphasizing the intentional crossing of hands in a composed manner.
sneeze/cough: Inclines forward or tilts to the side, indicating the direction of the sneeze or cough; May cover the mouth or nose, demonstrating hygiene and preventing the spread of particles; Raises slightly, bringing the hand closer to the face during the sneeze or cough; Might shift slightly backward, reacting to the movement of the upper body; May subtly adjust for balance or stability, depending on the intensity of the sneeze or cough; Remains grounded, providing support during the body's response to sneezing or coughing.	
staggering: Tilts or sways irregularly, reflecting the lack of balance during staggering; May extend outward for stability or clutch nearby surfaces for support; Swings loosely, trying to counterbalance the body's erratic movements; Shifts from side to side, contributing to the unsteady gait; Exhibits an uncoordinated and wavering movement, causing the stagger; Lands unevenly, contributing to the overall lack of stability while walking.	
falling down: Descends rapidly, often tilting backward or sideways as the body loses balance; Reaches out instinctively, attempting to grasp onto nearby objects or surfaces; Extends outward in a reactive manner, trying to break the fall or find support; Loses alignment, contributing to the uncontrolled descent toward the ground; Bends or collapses, unable to sustain the body's weight, leading to the fall; Lands awkwardly, indicating the loss of stability and control during the fall.	
headache: Experiences throbbing or aching sensations, often accompanied by discomfort or pain; May reach towards the head, indicating a reflexive response to the headache; Might be used to shield or support the head in an attempt to alleviate the pain; Remains relatively unaffected by the headache, as the discomfort primarily centers in the head; No specific movement associated with the headache, as it primarily affects the upper body; Generally stationary, as the discomfort is concentrated in the head and upper body.
chest pain: May display signs of distress or discomfort, such as grimacing or holding the chest; Often clutches or holds the chest area, signaling pain or discomfort in that region; May use one or both hands to support the chest, indicating pain or aching sensations; Usually unaffected directly; however, overall body posture might shift due to pain; No specific movement associated with chest pain; focus is on the upper body; Generally stationary; the pain in the chest region limits movement in the lower body.	
back pain: May tilt or turn slightly, indicating discomfort or an attempt to alleviate back pain; Often reaches towards the lower back, signaling pain or discomfort in that region; Might support the lower back, displaying efforts to alleviate or adjust to the pain; Can tilt or shift, reflecting the body's attempt to find a more comfortable position; Movements may become cautious or limited, as the pain in the back affects overall mobility; Typically stable; the focus is on the upper body, and the feet may stay in place.	
neck pain: May tilt to one side or be held more cautiously, indicating discomfort or pain in the neck; Often reaches or massages the neck area, expressing an attempt to relieve the pain; Could support the neck or remain close to it, showing sensitivity to the discomfort; May adjust slightly to find a more comfortable position, especially if the neck pain affects posture; Movements may become more cautious or limited, reflecting the impact of neck pain; Generally stable, with the focus on the upper body, as the pain is centered around the neck.	
nausea/vomiting: Appears lowered or tilted, signaling discomfort; may exhibit pale complexion or sweating; Clenched or covering the mouth, suggesting an attempt to control or prevent vomiting; Can be positioned protectively around the stomach, reflecting discomfort or nausea; May sway or shift subtly, indicating unease or an attempt to find a comfortable position; Movements may become more cautious or limited, reflecting the impact of nausea; Restless or shifting, as discomfort from nausea may affect overall body movement.
fan self: Tilts or turns to catch a breeze, seeking relief from heat; Waves an object, like a fan or paper, to create air movement; Swings or moves the fan in a rhythmic pattern for cooling; May sway or shift as the body adjusts to the cooling action; Movements may become more relaxed or comfortable during fanning; Tapping or shifting, expressing the relief felt from cooling actions.
punch/slap: Nods forward with force, emphasizing the impact of the punch or slap; Strikes swiftly with a closed fist (punch) or open palm (slap); Extends rapidly, delivering the forceful punch or slapping motion; May pivot or shift, adding momentum to the punch or slap; Stabilizes the body or propels forward for added force; Stamps or steps, accentuating the power and intensity of the action.	
kicking: Leans back or tilts forward, signaling the intent to kick; Balances or supports, ensuring stability during the kicking motion; Swings back for momentum or guards for balance during the kick; Pivots for power, directing the force generated by the kicking leg; Extends rapidly, delivering the forceful kicking motion; Strikes with precision, targeting the intended object or direction. 	
pushing: Leans forward, indicating the intention to exert force; Extends, making contact with an object or surface to initiate the push; Applies controlled force, driving the pushing motion; Shifts weight for stability while engaging in the pushing action; May provide additional support or leverage for a more powerful push; Grounded firmly, facilitating the transfer of force during the pushing movement.	
pat on back: Tilts slightly to one side, expressing a congratulatory or supportive gesture; Extends backward, making contact with the upper back in a gentle patting motion; Swings back with a controlled movement to deliver the pat on the back; May shift slightly to accommodate the motion, enhancing the gesture's sincerity; Stays grounded, providing stability during the patting action; Maintains a balanced position, supporting the body's weight during the gesture.
point finger: Turns subtly, directing the gaze towards the pointed direction with focused attention; Extends the index finger, indicating a specific object or direction with precision; Lifts and extends outward, aligning with the pointed direction for emphasis; May shift slightly, aligning with the direction indicated by the pointed finger; Stays grounded, providing stability during the pointing gesture; Maintains a balanced position, supporting the body during the pointing action. 	
hugging: Leans in, resting against the other person's shoulder or neck during the embrace Wraps around the other person, providing a warm and comforting grip; Encircles the person in a gentle and affectionate hold, fostering a sense of closeness; May sway slightly, enhancing the connection and intimacy of the hug; May step closer, reinforcing the embrace with a sense of solidarity and support; Remains grounded, ensuring stability and balance during the hugging gesture.	
giving object: Nods or tilts slightly, directing attention towards the offered object with a friendly expression; Extends the hand, presenting the object in a gesture of generosity and goodwill; Reaches out, showcasing the object and facilitating a smooth transfer to the recipient; May shift slightly, adding a subtle movement that complements the act of giving; Remains stable, providing a foundation for the gesture and maintaining balance; Offers a steady base, ensuring a confident and graceful execution of the giving action.
touch pocket: Turns slightly or tilts down, indicating an intention to reach for something in the pocket; Extends towards the pocket, fingers poised to explore or retrieve an item; Performs a reaching motion, demonstrating the act of accessing or searching the pocket; Experiences a subtle movement as the hand approaches the pocket, enhancing the overall gesture; May undergo a slight shift to facilitate comfortable access to the pocket; Maintains stability, supporting the body during the action of touching or reaching into the pocket.
shaking hands: Nods slightly as a gesture of acknowledgment during the handshake interaction; Extends forward for a firm and friendly grip, initiating the handshake ritual; Engages in a controlled and coordinated motion, ensuring a comfortable and reciprocal handshake; May subtly shift in a relaxed manner, maintaining balance and contributing to a confident posture; Stays grounded, providing stability and support throughout the handshake gesture; Remains steady, reinforcing a positive and composed stance during the handshake exchange.	
walking towards: Faces forward, signaling intent, and may turn slightly to focus on the destination; Swings naturally in sync with the walking motion, maintaining a relaxed position; Moves rhythmically in coordination with the stride, contributing to a smooth walking gesture; Sways gently, adding a natural and effortless flow to the forward movement; Lifts and extends with each step, propelling the body forward in a coordinated manner; Makes contact with the ground, providing stability and facilitating a continuous walking rhythm.	
walking apart: Faces forward or turns slightly, indicating a separation or divergence in walking paths; May gesture outward, signaling a distance or divergence from a central point; Moves naturally, maintaining a relaxed position while potentially gesturing to the sides; Sways subtly, suggesting a lateral movement or a departure from a common direction; Takes steps that contribute to a widening gap, reflecting the act of walking apart; Makes deliberate strides, creating distance and signaling the divergence of walking paths.

