drink water:The head tilts back slightly as the person opens their mouth to receive water; The hand holds a water container, bringing it to the mouth for drinking; The arm raises the water container, allowing a controlled flow for drinking; The hip maintains a balanced posture, supporting the body during the act of drinking; The leg may shift weight for comfort, contributing to a stable drinking position; The foot remains grounded, providing stability while consuming water.
take off jacket: Nod slightly, signaling intention to remove the jacket; Unzip or unbutton, initiating the jacket removal process; Slide arms out smoothly, ensuring a controlled and graceful movement; Shift weight for balance while freeing the upper body from the jacket; Steady support, allowing controlled movement during jacket removal; Maintain balance, facilitating a seamless and coordinated action. 	
put on a shoe: Bends slightly, focusing attention on the shoe, checking alignment during the process; Grasps the shoe, ensuring a secure hold while guiding it toward the foot; Performs controlled movements, directing the shoe toward the foot for a proper fit; Adjusts posture as needed for balance, stability, and ease of putting on the shoe; Lifts and positions the foot for the shoe, adjusting angles for a comfortable fit; Receives the shoe, and toes may flex to facilitate smooth entry and proper placement.
take off a shoe: Bends down or tilts to observe the shoe, signaling the intention to remove it; Grasps the shoe, fingers working on unfastening closures or laces; Executes controlled movements, assisting in the removal of the shoe; May shift for balance, depending on whether standing or sitting during the action; Lifts as the shoe is being pulled off, facilitating the removal process; Eases out of the shoe, adjusting and flexing for comfort and balance.	
put on glasses: Lifts slightly, positioning glasses on the bridge of the nose with care; Holds the glasses, ensuring a secure grip for a smooth placement; Executes a controlled motion, guiding the glasses to the face effortlessly; May adjust posture for better balance, depending on standing or sitting; Provides stability, subtly adjusting to accommodate the action; Remains stationary, offering support while glasses are put on.	
take off glasses: Tilts slightly backward, adjusting the angle for a smooth removal of glasses; Grasps the frames with a firm grip, preparing for the action; Executes a controlled motion, bringing the glasses away from the face; May shift slightly for balance, depending on whether standing or sitting; Maintains stability, providing support during the glasses removal process; Contributes to overall balance, ensuring a steady and coordinated action.	
put on a hat/cap: Tilts slightly upward, creating space for the hat to be placed on the head; Holds the hat, guiding it onto the head with a gentle and controlled motion; Raises and positions the hat above the head, coordinating with the hand movement; May shift slightly for balance, especially if bending or reaching for the hat; Adjusts stance for stability, accommodating the movement of putting on the hat; Maintains support, contributing to overall balance during the hat-wearing process.
take off a hat/cap: Tilts slightly to allow the hat to be easily lifted off; Grasps the hat's brim or crown, initiating the removal process; Performs a smooth, upward motion, lifting the hat away from the head; May shift for balance, depending on the individual's posture; Provides stability, supporting the body during the hat removal action; Maintains a stable base, contributing to overall balance during the action.	
cheer up: Lifts with a bright expression, showing positive emotions and energy; Raises in gestures, clapping, or waving to express encouragement and support; Moves with enthusiasm, contributing to the lively and uplifting atmosphere; May sway or move rhythmically, adding a dynamic element to the cheering; Jumps or bounces in excitement, reflecting the joyful and celebratory mood; Stamps or taps, contributing to the rhythmic and energetic cheering movements.	
hand waving: Turns slightly with a friendly and attentive expression, following the direction of the wave; Moves in a rhythmic, back-and-forth motion, creating a noticeable waving gesture; Extends outward gracefully, contributing to the fluid and welcoming waving movement; May sway gently, adding a subtle dynamic element to the overall waving action; Maintains a stable stance or takes a step forward, depending on the style of the wave; Lifts or pivots in sync with the waving motion, enhancing the overall coordination.	
kicking something: Observes the target with focused attention, possibly leaning slightly forward for better visibility; The hand on the same side as the kicking leg may provide balance or support during the action; The arm on the opposite side of the kicking leg may swing backward for counterbalance; Rotates backward as the kicking leg is lifted, contributing to the power and range of the kick; Executes a swift, controlled kick with precision, targeting the desired object or surface; Strikes the target with the sole or instep, generating force and impact for an effective kick.
reach into pocket: May tilt slightly to the side, indicating the intention to reach into the pocket; Extends towards the pocket, fingers ready to grasp items inside; Moves in a controlled manner, reaching towards the pocket's location; Might shift or rotate subtly, contributing to the overall movement; Stays relatively stable, providing support for the reaching action; Grounded to maintain balance while executing the reaching motion.
hopping: Leans forward slightly, following the upward movement during the hop; Arms might swing naturally for balance, mirroring the hopping motion; Swings rhythmically, contributing to the overall fluidity of the hop; Engages in a controlled movement, assisting the body's upward and downward motion; Lifts off the ground, demonstrating the primary action of hopping; Propels off the ground, showcasing the push-off during each hop.	
jump up: Lifts upward, maintaining a straight posture, signaling the initiation of the jump; Arms swing downward and then upward, contributing to the upward thrust of the jum; Extends during the upward phase, aiding in propelling the body upward; Experiences a quick upward movement, generating the primary force for the jump; Bends at the knee, then rapidly extends, launching the body off the ground; Pushes off the ground, providing the necessary upward force for the jump.	
phone call: Inclines slightly to hold the phone, maintaining focus on the conversation; Holds the phone near the ear, facilitating clear communication during the call; May be raised or bent, depending on the preferred posture while on the phone; Often remains relaxed or may shift slightly for comfort during a phone call; Stands, sits, or moves comfortably to accommodate the phone conversation; Stays grounded or may make subtle movements for comfort during the call.
play with phone/tablet: Tilts or looks down, focused on the phone/tablet screen during interactive play; Manipulates the device with fingers, tapping or swiping for control and engagement; May be raised or bent, adjusting the device's position for comfort during play; Usually remains in a relaxed position as the activity doesn't involve significant hip movement; Can be seated or standing, with legs positioned comfortably during the interactive play; Remains stationary, providing stability during the immersive experience with the phone/tablet.	
type on a keyboard: Remains focused, possibly leaning forward slightly to get a clear view of the keyboard; Swiftly moves fingers across the keyboard, pressing keys with precision and speed Executes coordinated movements, guiding the hands to navigate the entire keyboard efficiently; Typically stays seated, providing a stable base for upper body movements during typing; May adjust minimally for comfort but generally stays in a stable position; Primarily at rest, playing a minimal role in the action of typing on a keyboard.	
point to something: Turns or tilts to align with the pointed direction, focusing attention on the target; Extends fingers to indicate the target, with the index finger pointing precisely at the object; Raises and extends with controlled movement, directing attention towards the pointed object; May slightly shift or rotate, providing support and balance during the pointing gesture; Remains stable or adjusts subtly to support the body's alignment with the pointed direction; Generally at rest, contributing to overall stability during the pointing action.	
taking a selfie: Inclines or turns towards the device, often with a smile, framing the face for the selfie; Holds the mobile device or camera, positioning it to capture the desired angle; Extends to reach an appropriate distance, ensuring the full frame includes the subject; May slightly shift, contributing to a comfortable and natural pose during the selfie; Maintains stability, supporting the body while accommodating any dynamic posing; Typically remains grounded, providing balance during the selfie-capturing process.
check time (from watch): Swiftly glances down at the wristwatch, expressing a sense of urgency or curiosity; Raises the wrist, bringing the watch into view for a quick time check; Performs a concise and purposeful movement to access the watch on the wrist; Remains relatively stable as the upper body engages in the time-checking action; Typically stationary, providing balance while the individual quickly checks the time; Serves as a supportive base, allowing for a seamless and efficient motion to check the watch. 	
rub two hands: May incline slightly forward, focusing attention on the hands during rubbing; Palms are pressed together and rubbed, creating friction for warmth or cleaning; Both arms may be involved, with the rubbing motion originating from the hands; Remains stationary, providing a stable base for the hand-rubbing action; Generally maintains a stable position, supporting the overall posture during hand rubbing; Offers support, staying grounded as the individual engages in the hand-rubbing action. 	
nod head/bow: Bows forward or nods up and down, indicating agreement, acknowledgment, or respect; May stay relaxed or gesture subtly, depending on cultural context or personal style; If gesturing, the arm may accompany the nod or remain at ease during the bow; Often remains stationary, providing a stable base during the nodding or bowing action; Offers support, maintaining balance and stability throughout the nodding or bowing gesture; Remains grounded, contributing to the overall posture during the nodding or bowing movement.
shake head: Moves laterally in a side-to-side motion, typically signaling disagreement or negation; May gesture subtly to emphasize the head shaking or remain relaxed; Arms usually hang by the sides, allowing the head to express the shaking movement; Hips remain stable, providing a base for the lateral movement of the head; Legs maintain stability, supporting the body during the side-to-side motion of the head; Grounded and stable, aiding balance as the head shakes in a horizontal manner.
wipe face: Leans forward or tilts slightly, facilitating access to different areas of the face; Uses a hand or hands to perform wiping motions across the face, clearing surfaces; The arm extends and retracts, coordinating with hand movements during face wiping; Hips may slightly shift or remain stationary, depending on the extent of the face wipe; Legs offer stability, supporting body weight as the person leans or adjusts during face wiping; Grounded for balance, providing stability while engaging in face-wiping motions.	
salute: Raises and tilts upward, displaying respect or acknowledgment through a straightened posture; Hand extends to the forehead, forming a crisp and formal salute gesture; Raises in a controlled motion, bringing the hand to the forehead level for the salute; Stays generally aligned with the body, maintaining a straight and disciplined stance; May involve a slight controlled step or remain in a stationary, attention position; Offers support, remaining aligned with the body during the salute action.	
put palms together: Bows slightly forward, demonstrating reverence or greeting with palms joined; Palms press together in a gesture of respect, prayer, or greeting; Elbows may be slightly bent, forming a symmetrical and intentional connection; Stance remains neutral, allowing the focus to be on the joined palms; Stands with balanced weight distribution, reflecting a composed and respectful posture; Provides stability, emphasizing the intentional and controlled nature of the gesture.	
cross hands in front: Maintains an upright position, observing the surroundings or focusing on a point; Crosses hands in front of the body, fingers may interlace or rest comfortably; Forms a symmetrical or relaxed cross, creating a composed and deliberate posture; Stays aligned with the crossed hands, contributing to a balanced and centered stance; Adopts a stable and grounded position, supporting the overall crossed hands gesture; Remains firm on the ground, enhancing the stability and intention of the pose.
sneeze/cough: Inclines forward or turns slightly, indicating the direction of the sneeze or cough; Covers the nose or mouth, preventing the spread of droplets during the sneeze or cough; Raises quickly towards the face, facilitating the protective gesture during the action; May slightly shift or remain stable, depending on the overall body movement; Might adjust weight distribution, reacting to the sudden movement associated with sneezing or coughing; Stays grounded, providing stability while the body responds to the sneezing or coughing reflex.
staggering: Tilts or sways, struggling to maintain balance, reflecting the unsteady movement; Extends outward or flails, attempting to regain stability during the staggering motion; May stretch outward for support or swing erratically as the body attempts to stabilize; Shifts irregularly, contributing to the unsteady and wavering movement; Displays an uneven gait, with steps that are hesitant or uncoordinated during the staggering; Lands unpredictably, reflecting the difficulty in maintaining a steady and coordinated walk.	
falling down: Descends rapidly, often leading the fall, potentially tilting or turning involuntarily; May reach out in an attempt to grasp something, signaling a loss of balance; Extends or flails as the body descends, reacting to the loss of stability; Shifts abruptly, contributing to the loss of equilibrium during the fall; Bends or collapses under the body's weight, marking the descent to the ground; Makes initial contact with the surface, signaling the start of the fall.	
headache: Expresses discomfort, often accompanied by a hand reaching toward the affected area; May touch the forehead or temples, indicating the specific location of pain; May cradle or support the head, seeking relief from the headache; Remains unaffected; the action primarily involves the upper body; May adjust posture to alleviate discomfort, but not directly involved in the action; Remains stationary; the action is centered around the upper body's response to the headache.
chest pain: May express distress or discomfort, with a furrowed brow or a hand on the chest; Might clutch the chest area, signaling pain or discomfort in the region; Could reach across the chest or hold onto the affected area due to pain; Remains relatively unaffected, as the pain is primarily centered around the chest; No specific movement associated with chest pain, as it primarily affects the upper body; Generally stationary, with potential discomfort reflected in the overall body posture.	
back pain: May tilt or turn in response to the pain, expressing discomfort or distress; Often reaches or massages the lower back area, signaling pain or discomfort; May support the lower back with one or both hands, indicating discomfort; May shift or tilt to one side, adjusting posture to alleviate back pain; Movements may become limited or cautious to avoid exacerbating back pain; Generally stationary; the focus is on adjusting the body to alleviate back discomfort.
neck pain: May tilt or turn slightly to one side, reflecting discomfort or an attempt to relieve neck pain; Often reaches towards the neck, indicating pain or an effort to massage or support the affected area; Might be used to cradle or support the neck, showcasing efforts to alleviate discomfort; Could shift or tilt, showing the body's attempt to find a more comfortable position for the neck; Movements may be cautious, with limited head movements affecting overall mobility; Typically stable; the focus is on the upper body, and the feet may remain in place.	
nausea/vomiting: May be bowed down, with a pale complexion, indicating the onset of nausea or vomiting; Clutches the stomach or covers the mouth, preparing for or reacting to vomiting; May hold onto a surface for support or cradle the stomach due to discomfort; Hunched or tilted forward, as the body responds to the sensation of nausea; Slight shuffling or instability, reflecting the body's response to feeling unwell; Minimal movement, with focus on maintaining balance during the episode of nausea or vomiting.
fan self: Tilted or turned, seeking relief from heat; facial expressions may convey discomfort; Waving an object like a fan or hand in front of the face for cooling; Engaged in a repetitive motion, fanning the face or body to create airflow; Swaying or shifting weight, potentially adjusting body posture for increased comfort; Movements may be more relaxed or restless, responding to the need for cooling; Tapping or shifting rhythmically, mirroring the repetitive action of fanning.
punch/slap: Tenses, turns, or ducks defensively in response to a punch or slap; Delivers a forceful strike, either a punch or a slap; Executes a powerful, swift movement to punch or slap; May pivot or shift weight to generate force during the action; Stabilizes the body or provides additional power during a punch or slap; Grounding or pivoting for stability and strength during the striking motion.	
kicking: Leans back slightly for balance and anticipates the kicking motion; May provide support or prepare for the kick, depending on the context; Swings back to generate momentum for the kicking motion; Rotates to initiate the forward movement of the kicking leg; Extends with force, delivering the kick to the intended target; Strikes the target, showcasing the power and precision of the kick.	
pushing: Leans forward, indicating the intention to exert force; Extends outward, applying pressure to an object or surface; Straightens with strength, generating the pushing force; Shifts forward, contributing to the overall pushing movement; Stabilizes the body or provides additional force for pushing; Plants firmly, supporting the body during the pushing action.
pat on back: May tilt slightly to one side, expressing a friendly and encouraging gesture; Extends toward the back in a controlled motion for the patting action; Engages in a gentle, rhythmic patting motion on the person's back; Remains stable and neutral, providing a base for the upper body movement; Stays grounded, ensuring balance while performing the patting gesture; Offers stability, supporting the body during the friendly interaction.
point finger: Turns slightly to focus attention, indicating a specific direction or object; Extends the index finger forward, pinpointing a particular location or item; Straightens with a purposeful movement, directing the finger precisely; May shift subtly to align with the pointing gesture, enhancing the indication; Stays grounded, providing stability and balance during the pointing action; Maintains a neutral position, supporting the body's weight while indicating a target.	
hugging: Leans slightly, expressing affection and closeness during the embrace; Wraps around the partner, forming a secure and comforting connection; Encircles the other person, providing warmth and a sense of protection; May gently press against the hugged person, reinforcing the bond; May shift or intertwine with the partner's leg, enhancing the closeness; Maintains a stable stance, supporting the body during the intimate gesture.	
giving object: Nods or tilts slightly, directing attention to the object being offered; Extends outward, presenting the object with an open and inviting gesture; Reaches out, facilitating the transfer of the object in a friendly and giving manner; May shift slightly to accommodate the movement, enhancing the act of offering; May step forward, indicating a willingness to share and engage in the giving process; Stays grounded, maintaining stability while participating in the gesture of giving.
touch pocket: Tilts slightly as the person glances towards the pocket, indicating an intention to access it; Extends toward the pocket, fingers making contact to retrieve or adjust items inside; Performs a smooth and controlled movement, reaching effortlessly towards the pocket area; May experience a subtle shift or rotation as the hand interacts with the pocket; Remains stable, providing support for the upper body's movement during the pocket interaction; Maintains a grounded position, ensuring balance while engaging with the pocket.
shaking hands: Tilts slightly forward, showing a gesture of acknowledgment and readiness for the handshake; Extends confidently for the handshake, fingers open and receptive to the other person's hand; Engages in a controlled and friendly motion, meeting the other person's hand with warmth; May subtly shift for balance, contributing to a natural and comfortable posture during the handshake; Maintains stability, supporting the body weight with a poised and composed stance; Remains grounded, providing a foundation for a firm and respectful handshake gesture.	
walking towards: Faces forward with focused attention, signaling the direction of movement and intention; Swings naturally or may be purposefully extended, indicating a casual or purposeful approach; Swings in coordination with the walking motion, contributing to a balanced and rhythmic stride; Moves smoothly, facilitating the natural swaying motion that accompanies walking towards a destination; Takes confident steps, propelling the body forward with a steady and purposeful gait; Lifts and lands gracefully, ensuring a smooth and coordinated movement while walking towards a target.	
walking apart: Turns slightly to face away, indicating a departure or a change in direction; May gesture open or away, emphasizing the separation or divergence in paths; Extends comfortably, contributing to an open and distinct movement away from the center; Shifts with a subtle sway, reflecting the intentional movement away from a common direction; Takes steps with a wider stride, symbolizing a deliberate distancing or parting; Lands with purpose, reinforcing the notion of moving apart or taking separate paths.

